"taxonID","locationID","locality","countryCode","occurrenceStatus","establishmentMeans","eventDate","source"
"uredinales-belgium-checklist:taxon:260455576301d23f512a9650f9936ef9","ISO_3166-2:BE","Belgium","BE","present","","1878-07/1880-08","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 11"
"uredinales-belgium-checklist:taxon:8fe069e7f3228441fb405002b038aaf1","ISO_3166-2:BE","Belgium","BE","present","","1888-05","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 11"
"uredinales-belgium-checklist:taxon:cf04e2617aba99a239404b150dd8f933","ISO_3166-2:BE","Belgium","BE","present","","1963-10-04/2006-05-15","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 11"
"uredinales-belgium-checklist:taxon:8f40d1f544b697192379f3573ae269d8","ISO_3166-2:BE","Belgium","BE","present","alien","2000-10-13","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 12"
"uredinales-belgium-checklist:taxon:906765b70ce7ae6a8830ea9f7ea352f4","ISO_3166-2:BE","Belgium","BE","present","","","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 12"
"uredinales-belgium-checklist:taxon:8e55e76ae542346be4dfe62032aef53b","ISO_3166-2:BE","Belgium","BE","present","","1890-09/1902-08-13","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 12"
"uredinales-belgium-checklist:taxon:587ab4ddc9826777f88853f016f295d8","ISO_3166-2:BE","Belgium","BE","present","","1889-09","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 12"
"uredinales-belgium-checklist:taxon:aafacca828222e60fccc696da7ea3a36","ISO_3166-2:BE","Belgium","BE","present","","1889-09/1917-04-10","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 12"
"uredinales-belgium-checklist:taxon:90d6fe85dea087e7498c225b84f9b6f3","ISO_3166-2:BE","Belgium","BE","present","","1980-06-17/2003-08-16","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 13"
"uredinales-belgium-checklist:taxon:0dc0649e0c025283a048dd3f5bd87ad7","ISO_3166-2:BE","Belgium","BE","present","","1878-08-18/1999-10-10","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 13"
"uredinales-belgium-checklist:taxon:eb70dfc7c93a1474d5c9511813562f4e","ISO_3166-2:BE","Belgium","BE","present","","1901-09-07","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 13"
"uredinales-belgium-checklist:taxon:d620cbe6ee067694f32580d1215f2ed7","ISO_3166-2:BE","Belgium","BE","present","","1879-07","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 13"
"uredinales-belgium-checklist:taxon:27c73923ed486210e51244b3f12aed7d","ISO_3166-2:BE","Belgium","BE","present","","","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 14"
"uredinales-belgium-checklist:taxon:97f3e49caadf7922d441f8eb6047497f","ISO_3166-2:BE","Belgium","BE","present","","1901-08","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 14"
"uredinales-belgium-checklist:taxon:c350f3f4b858d8159f4d561c6bc84e44","ISO_3166-2:BE","Belgium","BE","present","","1979-05-14","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 14"
"uredinales-belgium-checklist:taxon:ac820979a45a19fb30a5fd2c286bd1ed","ISO_3166-2:BE","Belgium","BE","present","","1920-07-02/2005-09-25","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 14"
"uredinales-belgium-checklist:taxon:8e836030e6420329d03eec88a9a015eb","ISO_3166-2:BE","Belgium","BE","present","","1876-08-15/1929-06-05","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 15"
"uredinales-belgium-checklist:taxon:0d942662f590a93b6ff69a2b077327ea","ISO_3166-2:BE","Belgium","BE","present","","","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 15"
"uredinales-belgium-checklist:taxon:c85d4b75235e1afab252f5cf27b00deb","ISO_3166-2:BE","Belgium","BE","present","","1920/2006-08-31","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 16"
"uredinales-belgium-checklist:taxon:da34f5ee1351a3ab5535f0daf8e9352e","ISO_3166-2:BE","Belgium","BE","present","","1902-05","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 16"
"uredinales-belgium-checklist:taxon:60b30961bbda77831a9fbc3296450f62","ISO_3166-2:BE","Belgium","BE","doubtful","","","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 16"
"uredinales-belgium-checklist:taxon:f2bdc4f5c2a9feecb7dd49d2b5db155f","ISO_3166-2:BE","Belgium","BE","present","","1997-07-30/1997-06-24","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 16"
"uredinales-belgium-checklist:taxon:58f197eaed5e856350d2ea9b9b2d2c5a","ISO_3166-2:BE","Belgium","BE","present","introduced","1901-08-29/2005-11-06","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 16"
"uredinales-belgium-checklist:taxon:023ac4abdac0e11decbba64a2da766ce","ISO_3166-2:BE","Belgium","BE","present","","1901-09/2000-10-26","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 17"
"uredinales-belgium-checklist:taxon:01c0dde3e3ed3381e6ec7ae150ce7f0b","ISO_3166-2:BE","Belgium","BE","present","introduced","1900-09-24/1999-09-14","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 17"
"uredinales-belgium-checklist:taxon:d08e50d2cf69ba8396dd6f6026afda83","ISO_3166-2:BE","Belgium","BE","present","","","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 17"
"uredinales-belgium-checklist:taxon:dfa47c86afa87b67cc08c8c8cc0c6992","ISO_3166-2:BE","Belgium","BE","doubtful","","","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 17"
"uredinales-belgium-checklist:taxon:501ebab0dab4c563a4aced683c7c086a","ISO_3166-2:BE","Belgium","BE","present","","1917-07-22/2006-09-06","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 17"
"uredinales-belgium-checklist:taxon:ac47571452c9178ea63d823dd6622d3a","ISO_3166-2:BE","Belgium","BE","present","","1897-06-27","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 17"
"uredinales-belgium-checklist:taxon:424b33b7bddd27a5f7543196182fb442","ISO_3166-2:BE","Belgium","BE","present","","","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 18"
"uredinales-belgium-checklist:taxon:0f51d8b941ecda78a7b5caaaf5bd10f7","ISO_3166-2:BE","Belgium","BE","present","","1887/2004-10-24","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 18"
"uredinales-belgium-checklist:taxon:e6c67e2ca39edf932bad857bdcbae4e0","ISO_3166-2:BE","Belgium","BE","present","","1999-08-17","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 18"
"uredinales-belgium-checklist:taxon:308d0dda84cf6c0303609f74d2382923","ISO_3166-2:BE","Belgium","BE","present","","1997-09-19","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 18"
"uredinales-belgium-checklist:taxon:245b764e35d1fbbfd55945b74a79404f","ISO_3166-2:BE","Belgium","BE","present","","1879-05-04/1882-07","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 18"
"uredinales-belgium-checklist:taxon:4036f389e2e544dc2b5300c9971919e2","ISO_3166-2:BE","Belgium","BE","present","introduced","1878-04/1956-04-29","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 19"
"uredinales-belgium-checklist:taxon:3ab369d8eac1122e76d5a6990bc07ed4","ISO_3166-2:BE","Belgium","BE","present","alien","2000-09-18/2005-09-18","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 19"
"uredinales-belgium-checklist:taxon:3f77c8a0399f2e7e15b7087b329f4dbe","ISO_3166-2:BE","Belgium","BE","present","","1997-10-16/2005-10-02","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 19"
"uredinales-belgium-checklist:taxon:3736ec6a37f77d97caaa114113ff033b","ISO_3166-2:BE","Belgium","BE","present","introduced","1943-05-30/2006-06-03","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 19"
"uredinales-belgium-checklist:taxon:e82e5bb9f24dc198819ebfc25068ae51","ISO_3166-2:BE","Belgium","BE","present","alien","2007-06-08/2007-06-12","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 20"
"uredinales-belgium-checklist:taxon:a4353eacc81c1b2ba031593aa486535e","ISO_3166-2:BE","Belgium","BE","present","","2000-05-30","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 20"
"uredinales-belgium-checklist:taxon:cdb488265203ba3e3bb5de0a1daa3cbd","ISO_3166-2:BE","Belgium","BE","present","","1984-05-19/2007-01-29","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 20"
"uredinales-belgium-checklist:taxon:90a86d6e8c6bb8b28c0b29e8802518e8","ISO_3166-2:BE","Belgium","BE","present","","2000-11-03/2006-08-01","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 21"
"uredinales-belgium-checklist:taxon:9957bd9c8b75cd9231e566da1955b4be","ISO_3166-2:BE","Belgium","BE","present","introduced","1878-04/2006-04-23","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 21"
"uredinales-belgium-checklist:taxon:5baefb1cc0bc48544fa99cef0e18a500","ISO_3166-2:BE","Belgium","BE","present","introduced","1856-08-20/1997-10-16","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 21"
"uredinales-belgium-checklist:taxon:c85be5aa36424a4781d2aaa3772f0be0","ISO_3166-2:BE","Belgium","BE","present","","1889-07","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 21"
"uredinales-belgium-checklist:taxon:c104ec5fdc2c3a298734df875cd85c93","ISO_3166-2:BE","Belgium","BE","present","","2000-09-20","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 21"
"uredinales-belgium-checklist:taxon:e798699c9617181732cde7b9145cced5","ISO_3166-2:BE","Belgium","BE","present","","1999-10-09/1999-10-10","Vanderweyen, A., & Fraiture, A. (2009). Catalogue des Uredinales de Belgique, 1re partie, Chaconiaceae, Coleosporiaceae, Cronartiaceae, Melampsoraceae, Phragmidiaceae, Pucciniastraceae, Raveneliaceae et Uropyxidaceae. Lejeunia, Revue de Botanique. Page: 22"
