scientificName	catalogNumber	part	page	from	to	eventDate	taxonRank	family	associatedTaxa	occurrenceStatus	Column
Puccinia argentata (Schultz) G. Winter 	111	3	12	VIII.1898	30.IV.1995	1898-08/1995-04-30	species	Pucciniaceae	parasite of: Adoxa moschatellina| parasite of: Impatiens noli-tangere	present	native
Puccinia asparagi DC. 	112	3	13	X.1886		1886-10	species	Pucciniaceae	parasite of: Asparagus officinalis	present	
Puccinia behenis G.H.Otth 	113	3	13	09.XI.1999		1999-11-09	species	Pucciniaceae	parasite of: Silene dioica| parasite of: Silene latifolia subsp. alba	present	
Puccinia betonicae (Alb. & Schwein.) DC. 	114	3	13		07.V.2010	2010-05-07	species	Pucciniaceae	parasite of: Stachys officinalis	present	
Puccinia bistortae DC. 	115	3	13	22.VIII.1856	07.VII.2007	1856-08-22/2007-07-07	species	Pucciniaceae	parasite of: Angelica| parasite of: Carum| parasite of: Conopodium| parasite of: Persicaria bistorta	present	native
Puccinia brachypodii var. arrhenatheri (Kleb.) Cummins & H.C. Greene 	116	3	13	IX.1901	05.IV.1995	1901-09/1995-04-05	variety	Pucciniaceae	parasite of: Berberis vulgaris| parasite of: Arrhenatherum elatius| parasite of: Deschampsia cespitosa	present	native
Puccinia brachypodii G.H. Otth var. brachypodii	117	3	14	21.VIII.1994		1994-08-21	variety	Pucciniaceae	parasite of: Berberis vulgaris| parasite of: Brachypodium sylvaticum| parasite of: Brachypodium pinnatum	present	
Puccinia brachypodii var. poae-nemoralis (G.H. Otth) Cummins & H.C. Greene 	118	3	14	VII.1884	07.V.1995	1884-07/1995-05-07	variety	Pucciniaceae	parasite of: Arrhenatherum elatius| parasite of: Poa compressa| parasite of: Poa nemoralis| parasite of: Poa trivialis	present	native
Puccinia bromina Erikss. 	119	3	14	03.VI.1894	08.VI.1998	1894-06-03/1998-06-08	species	Pucciniaceae	parasite of: Symphytum officinalis| parasite of: Bromus hordeaceus	present	native
Puccinia bulbocastani Fuckel 	120	3	15				species	Pucciniaceae	parasite of: Bunium bulbocastanum	present	
Puccinia bupleuri Rudolphi 	121	3	15	28.V.1904	VI.1904	1904-05-28/1904-06	species	Pucciniaceae	parasite of: Bupleurum falcatum	present	
Puccinia buxi DC. 	122	3	15	08.XI.1958	01.III.2008	1958-11-08/2008-03-01	species	Pucciniaceae	parasite of: Buxus sempervirens	present	
Puccinia calcitrapae DC. 	123	3	15	IX.1883	28.IX.2009	1883-09/2009-09-28	species	Pucciniaceae	parasite of: Arctium minus| parasite of: Arctium minus subsp. pubens| parasite of: Carduus crispus| parasite of: Centaurea calcitrapa| parasite of: Centaurea jacea| parasite of: Centaurea jacea subsp. grandiflora| parasite of: Centaurea jacea subsp. nigra| parasite of: Centaurea scabiosa| parasite of: Cirsium oleraceum| parasite of: Cirsium palustre| parasite of: Crepis capillaris	present	native
Puccinia calthae Link 	124	3	16	13.VIII.1901		1901-08-13	species	Pucciniaceae	parasite of: Caltha palustris	present	
Puccinia calthicola J. Schröt. 	125	3	16	19.VIII.1921	17.V.2009	1921-08-19/2009-05-17	species	Pucciniaceae	parasite of: Caltha palustris	present	native
Puccinia campanulae Carm. ex Berk. 	126	3	16	1852		1852	species	Pucciniaceae	parasite of: Campanula rotundifolia| parasite of: Campanula rapunculus	doubtful	
Puccinia caricina DC. 	127	3	16	07.X.1856	09.VIII.2008	1856-10-07/2008-08-09	species	Pucciniaceae	parasite of: Ribes uva-crispa| parasite of: Carex acuta| parasite of: Carex pendula	present	native
Puccinia chaerophylli Purton 	128	3	17	21.IX.2000	08.VI.2010	2000-09-21/2010-06-08	species	Pucciniaceae	parasite of: Anthriscus sylvestris| parasite of: Myrrhis odorata| parasite of: Chaerophyllum temulum| parasite of: Torilis japonica 	present	
Puccinia chamaedryos Ces. 	129	3	17	IX.1913		1913-09	species	Pucciniaceae	parasite of: Teucrium chamaedrys| parasite of: Teucrium botrys	present	
Puccinia chrysosplenii Grev. 	130	3	18	IX.1890		1890-09	species	Pucciniaceae	parasite of: Chrysosplenium oppositifolium| parasite of: Chrysosplenium alternifolium	present	
Puccinia cicutae Lasch 	131	3	18				species	Pucciniaceae	parasite of: Cicuta virosa	doubtful	
Puccinia circaeae Pers.: Pers. 	132	3	18	08.IX.2004		2004-09-08	species	Pucciniaceae	parasite of: Circaea lutetiana 	present	
Puccinia cnici H. Mart. 	133	3	18	09.XI.1999		1999-11-09	species	Pucciniaceae	parasite of: Cirsium vulgare	present	
Puccinia cnici-oleracei Pers. 	134	3	18	VIII.1886	06.VIII.2005	1886-08/2005-08-06	species	Pucciniaceae	parasite of: Achillea millefolium| parasite of: Achillea ptarmica| parasite of: Aster tripolium| parasite of: Cirsium oleraceum| parasite of: Cirsium palustre| parasite of: Achillea| parasite of: Anthemis| parasite of: Artemisia| parasite of: Aster| parasite of: Centaurea| parasite of: Chrysanthemum	present	native
Puccinia commutata P. Syd. & Syd. 	135	3	19				species	Pucciniaceae	parasite of: Valeriana repens	present	
Puccinia conglomerata (F. Strauss) Röhl. 	136	3	19	1850	2012	1850/2012	species	Pucciniaceae	parasite of: Homogyne alpina	absent	alien
Puccinia convolvuli Castagne 	137	3	20	25.VI.2000	07.IX.2009	2000-06-25/2009-09-07	species	Pucciniaceae	parasite of: Calystegia sepium| parasite of: Convolvulus arvensis	present	
Puccinia coronata Corda 	138	3	20	IX.1887	25.V.2009	1887-09/2009-05-25	species	Pucciniaceae	parasite of: Frangula alnus| parasite of: Rhamnus cathartica| parasite of: Agrostis gigantea| parasite of: Agrostis stolonifera| parasite of: Alopecurus pratensis| parasite of: Arrhenatherum elatius| parasite of: Avena sativa| parasite of: Brachypodium sylvaticum| parasite of: Calamagrostis arundinacea| parasite of: Calamagrostis canescens| parasite of: Dactylis glomerata| parasite of: Elymus repens| parasite of: Holcus mollis| parasite of: Lolium perenne| parasite of: Molinia caerulea| parasite of: Phalaris arundinacea| parasite of: Poa pratensis| parasite of: Puccinellia distans| parasite of: Festuca arundinacea| parasite of: Melica nutans	present	native
Puccinia corrigiolae Chevall. 	139	3	21				species	Pucciniaceae	parasite of: Corrigiola litoralis	present	
Puccinia crepidicola Syd. & P. Syd. 	140	3	21	25.IX.1995		1995-09-25	species	Pucciniaceae	parasite of: Crepis capillaris| parasite of: Crepis polymorpha	present	
Puccinia crepidis J. Schröt. 	141	3	21	IX.1901	01.VIII.1918	1901-09/1918-08-01	species	Pucciniaceae	parasite of: Crepis capillaris| parasite of: Crepis tectorum	present	
Puccinia cyani Pass. 	142	3	21	03.VIII.1994		1994-08-03	species	Pucciniaceae	parasite of: Centaurea cyanus	present	
Puccinia dioicae var. arenariicola (Plowr.) D.M. Hend. 	143	3	22		1939	1939	variety	Pucciniaceae	parasite of: Centaurea jacea subsp. nigra| parasite of: Carex arenaria	doubtful	
Puccinia dioicae Magnus var. dioicae 	144	3	22	05.VI.1990		1990-06-05	variety	Pucciniaceae	parasite of: Cirsium oleraceum| parasite of: Carex	present	
Puccinia dioicae var. extensicola (Plowr.) D.M. Hend. 	145	3	22	31.VII.1901		1901-07-31	variety	Pucciniaceae	parasite of: Aster tripolium| parasite of: Carex extensa	present	
Puccinia dioicae var. schoeleriana (Plowr. & Magnus) D.M. Hend. 	146	3	22	VI.1919	28.V.1933	1919-06/1933-05-28	variety	Pucciniaceae	parasite of: Senecio jacobaea| parasite of: Carex arenaria	present	
Puccinia dioicae var. silvatica (J. Schröt.) D.M. Hend. 	147	3	22		21.VII.2001	2001-07-21	variety	Pucciniaceae	parasite of: Senecio ovatus| parasite of: Taraxacum officinale| parasite of: Carex viridula| parasite of: Carex brizoides	present	
Puccinia elymi Westend. 	148	3	23	VII.1901		1901-07	species	Pucciniaceae	parasite of: Thalictrum| parasite of: Leymus arenarius| parasite of: Ammophila arenaria	present	
Puccinia epilobii DC. 	149	3	23				species	Pucciniaceae	parasite of: Epilobium hirsutum| parasite of: Epilobium montanum| parasite of: Epilobium obscurum| parasite of: Epilobium palustre	doubtful	
Puccinia eryngii DC. 	150	3	23				species	Pucciniaceae	parasite of: Eryngium campestre	present	
Puccinia festucae Plowr. 	151	3	23	21.VII.1997		1997-07-21	species	Pucciniaceae	parasite of: Lonicera| parasite of: Festuca rubra	present	
Puccinia galii-verni Ces. 	152	3	24	24.VI.1900	15.X.2005	1900-06-24/2005-10-15	species	Pucciniaceae	parasite of: Cruciata laevipes| parasite of: Galium	present	native
Puccinia gentianae (F. Strauss) Röhl. 	153	3	24	IX.1890		1890-09	species	Pucciniaceae	parasite of: Gentiana pneumonanthe| parasite of: Gentianella	present	
Puccinia glechomatis DC. 	154	3	24	11.VII.1998	03.XI.2010	1998-07-11/2010-11-03	species	Pucciniaceae	parasite of: Glechoma hederacea	present	
Puccinia glomerata Grev.	155	3	24	04.VII.1902		1902-07-04	species	Pucciniaceae	parasite of: Senecio jacobaea| parasite of: Senecio ovatus	present	
Puccinia graminis Pers.	156	3	24	VII.1901	18.IX.1967	1901-07/1967-09-18	species	Pucciniaceae	parasite of: Berberis vulgaris| parasite of: Mahonia aquifolium| parasite of: Anthoxanthum odoratum| parasite of: Dactylis glomerata| parasite of: Elymus repens| parasite of: Anthoxanthum| parasite of: Briza| parasite of: Bromus| parasite of: Deschampsia| parasite of: Hordeum| parasite of: Poa| parasite of: Secale| parasite of: Triticum	present	
Puccinia grisea (F. Strauss) G. Winter 	157	3	25				species	Pucciniaceae	parasite of: Globularia vulgaris	present	alien
Puccinia helianthi Schwein. 	158	3	25				species	Pucciniaceae	parasite of: Helianthus tuberosus	doubtful	alien
Puccinia heraclei Grev. 	159	3	25	30.XII.1994		1994-12-30	species	Pucciniaceae	parasite of: Heracleum sphondylium	present	
Puccinia hieracii H. Mart. var. hieracii 	160	3	26	18.X.1878	27.IX.2009	1878-10-18/2009-09-27	variety	Pucciniaceae	parasite of: Centaurea jacea| parasite of: Hieracium umbellatum| parasite of: Hieracium sabaudum| parasite of: Leontodon autumnalis| parasite of: Picris hieracioides| parasite of: Taraxacum| parasite of: Centaurea| parasite of: Cichorium| parasite of: Hieracium| parasite of: Leontodon| parasite of: Serratula| parasite of: Taraxacum	present	native
Puccinia hieracii var. hypochaeridis (Oudem.) Jørst. 	161	3	26	VIII.1901	14.X.1986	1901-08/1986-10-14	variety	Pucciniaceae	parasite of: Hypochaeris radicata	present	native
Puccinia holcina Erikss.	162	3	27	03.IX.1901	03.IV.2007	1901-09-03/2007-04-03	species	Pucciniaceae	parasite of: Holcus lanatus| parasite of: Holcus mollis	present	native
Puccinia hordei G.H. Otth	163	3	27	16.VII.1902		1902-07-16	species	Pucciniaceae	parasite of: Ornithogalum| parasite of: Hordeum vulgare	present	
Puccinia hordei-murini N.F. Buchw.	164	3	28	29.VI.1998	04.IX.1998	1998-06-29/1998-09-04	species	Pucciniaceae	parasite of: Hordeum murinum	present	
Puccinia hydrocotyles Cooke 	165	3	28	VIII.1890		1890-08	species	Pucciniaceae	parasite of: Hydrocotyle vulgaris	present	
Puccinia hysterium (F. Strauss) Röhl. 	166	3	28	20.IV.1943	01.V.1994	1943-04-20/1994-05-01	species	Pucciniaceae	parasite of: Tragopogon pratensis	present	
Puccinia iridis Rabenh. 	167	3	28				species	Pucciniaceae	parasite of: Urtica| parasite of: Valeriana| parasite of: Iris graminea	doubtful	
Puccinia komarovii Tranzschel 	168	3	29	08.IX.2009		2009-09-08	species	Pucciniaceae	parasite of: Impatiens parviflora	present	alien
Puccinia lactucarum Syd. & P. Syd. 	169	3	29				species	Pucciniaceae	parasite of: Lactuca perennis| parasite of: Lactuca serriola	doubtful	
Puccinia lagenophorae Cooke	170	3	29	09.IX.1995	09.IX.2010	1995-09-09/2010-09-09	species	Pucciniaceae	parasite of: Calendula officinalis| parasite of: Senecio vulgaris| parasite of: Bellis perennis	present	
Puccinia lapsanae Fuckel 	171	3	30	14.X.1857	24.III.2011	1857-10-14/2011-03-24	species	Pucciniaceae	parasite of: Lapsana communis	present	native
Puccinia libanotidis Lindr. 	172	3	30	X.1890		1890-10	species	Pucciniaceae	parasite of: Seseli libanotis	present	
Puccinia liliacearum Duby 	173	3	30	16.V.1899	12.IV.2010	1899-05-16/2010-04-12	species	Pucciniaceae	parasite of: Ornithogalum pyrenaicum| parasite of: Ornithogalum umbellatum	present	native
Puccinia longissima J. Schröt. 	174	3	31	16.IV.1897		1897-04-16	species	Pucciniaceae	parasite of: Sedum rupestre| parasite of: Sedum acre| parasite of: Koeleria	present	
Puccinia luzulae Lib. 	175	3	31	13.IX.1917		1917-09-13	species	Pucciniaceae	parasite of: Luzula campestris| parasite of: Luzula pilosa	present	
Puccinia magnusiana Körn. 	176	3	31	24.VI.1860	18.X.2008	1860-06-24/2008-10-18	species	Pucciniaceae	parasite of: Ranunculus repens| parasite of: Phragmites australis	present	native
Puccinia major (Dietel) Dietel 	177	3	31	20.V.2004		2004-05-20	species	Pucciniaceae	parasite of: Crepis biennis| parasite of: Crepis paludosa	present	
Puccinia malvacearum Bertero ex Mont. 	178	3	31	VIII.1880	21.V.2010	1880-08/2010-05-21	species	Pucciniaceae	parasite of: Alcea rosea| parasite of: Althaea| parasite of: Malva moschata| parasite of: Malva neglecta| parasite of: Malva sylvestris	present	native
Puccinia mei-mamillata Semadeni 	179	3	32	17.V.2009	26.VI.2010	2009-05-17/2010-06-26	species	Pucciniaceae	parasite of: Angelica sylvestris| parasite of: Persicaria bistorta	present	
Puccinia menthae Pers.: Pers. 	180	3	32	19.IX.1999	05.IX.2005	1999-09-19/2005-09-05	species	Pucciniaceae	parasite of: Mentha aquatica, Clinopodium vulgare| parasite of: Origanum vulgare| parasite of: Satureja hortensis| parasite of: Thymus vulgaris	present	
Puccinia moliniae Tul. 	181	3	33				species	Pucciniaceae	parasite of: Melampyrum| parasite of: Prunella| parasite of: Origanum| parasite of: Molinia caerulea	present	
Puccinia montana Fuckel 	182	3	33				species	Pucciniaceae	parasite of: Centaurea montana	doubtful	
Puccinia morthieri Körn. 	183	3	33				species	Pucciniaceae	parasite of: Geranium sylvaticum	doubtful	
Puccinia nigrescens Kirchn. 	184	3	33				species	Pucciniaceae	parasite of: Salvia verticillata	doubtful	alien
Puccinia nitida (F. Strauss) Röhl. 	185	3	34	X.1860	16.X.1997	1860-10/1997-10-16	species	Pucciniaceae	parasite of: Aethusa cynapium	present	native
Puccinia obscura J. Schröt. 	186	3	34	24.IV.1988	14.III.2010	1988-04-24/2010-03-14	species	Pucciniaceae	parasite of: Bellis perennis| parasite of: Luzula campestris	present	
Puccinia oreoselini (F. Strauss) Fuckel 	187	3	34				species	Pucciniaceae	parasite of: Peucedanum oreoselinum	doubtful	alien
Puccinia oxalidis Dietel & Ellis 	188	3	35				species	Pucciniaceae	parasite of: Oxalis debilis| parasite of: Oxalis latifolia	present	alien
Puccinia paludosa Plowr. 	189	3	35				species	Pucciniaceae	parasite of: Pedicularis palustris| parasite of: Carex nigra| parasite of: Carex riparia	present	
Puccinia passerinii J. Schröt.	190	3	35	1880	20.VI.1901	1880/1901-06-20	species	Pucciniaceae	parasite of: Thesium humifusum	present	native
Puccinia pazschkei Dietel 	191	3	35	11.VII.1895		1895-07-11	species	Pucciniaceae	parasite of: Saxifraga	present	alien
Puccinia perplexans Plowr. 	192	3	36	VI.1904	25.V.2003	1904-06/2003-05-25	species	Pucciniaceae	parasite of: Ranunculus acris| parasite of: Alopecurus pratensis	present	native
Puccinia persistens Plowr.	193	3	36	VI.1896	12.VII.2008	1896-06/2008-07-12	species	Pucciniaceae	parasite of: Aquilegia vulgaris| parasite of: Clematis vitalba| parasite of: Thalictrum flavum| parasite of: Aconitum| parasite of: Actaea| parasite of: Anemone| parasite of: Hepatica| parasite of: Elymus repens| parasite of: Elymus athericus| parasite of: Secale cereale| parasite of: Agrostis| parasite of: Bromus| parasite of: Hordelymus| parasite of: Hordeum| parasite of: Milium	present	native
Puccinia phragmitis (Schumach.) Körn. 	194	3	36	17.IX.1878	08.V.2011	1878-09-17/2011-05-08	species	Pucciniaceae	parasite of: Rumex obtusifolius| parasite of: Rheum| parasite of: Phragmites australis	present	native
Puccinia pimpinellae (F. Strauss) Röhl. 	195	3	37	V.1852	X.1899	1852-5/1899-10	species	Pucciniaceae	parasite of: Pimpinella major| parasite of: Pimpinella saxifraga	present	
Puccinia plantaginis Westend. 	196	3	38				species	Pucciniaceae	parasite of: Scorzonera humilis	present	
Puccinia poarum E.Nielsen 	197	3	38	VIII.1865	03.VII.1975	1865-08/1975-07-03	species	Pucciniaceae	parasite of: Tussilago farfara| parasite of: Poa nemoralis	present	native
Puccinia polygoni Alb. & Schwein. var. polygoni 	198	3	38	X.1882	19.IX.1997	1882-10/1997-09-19	variety	Pucciniaceae	parasite of: Geranium| parasite of: Fallopia convolvulus| parasite of: Fallopia dumetorum	present	native
Puccinia polygoni-amphibii Pers.: Pers. 	199	3	39	20.X.1855	22.IX.1995	1855-10-20/1995-09-22	species	Pucciniaceae	parasite of: Geranium| parasite of:  Persicaria amphibia| parasite of: Persicaria maculosa	present	native
Puccinia porphyrogenita M.A. Curtis 	200	3	39				species	Pucciniaceae	parasite of: Cornus canadensis	doubtful	alien
Puccinia prenanthis (Schumach.) Kunze 	201	3	39				species	Pucciniaceae	parasite of: Mycelis muralis| parasite of: Prenanthes purpurea| parasite of: Cicerbita alpina	doubtful	
Puccinia primulae Duby 	202	3	40				species	Pucciniaceae	parasite of: Primula vulgaris| parasite of: Primula veris| parasite of: Primula elatior	doubtful	
Puccinia pulverulenta Grev.	203	3	40	IX.1852	22.VI.2010	1852-09/2010-06-22	species	Pucciniaceae	parasite of: Epilobium hirsutum| parasite of: Epilobium montanum| parasite of: Epilobium palustre| parasite of: Epilobium roseum	present	native
Puccinia punctata Link 	204	3	40	25.VIII.1901	09.XI.1999	1901-08-25/1999-11-09	species	Pucciniaceae	parasite of: Cruciata laevipes| parasite of: Galium aparine| parasite of: Galium mollugo| parasite of: Galium verum	present	
Puccinia punctiformis (F. Strauss) Röhl. 	205	3	41	XI.1901	21.V.2009	1901-11/2009-05-21	species	Pucciniaceae	parasite of: Cirsium arvense	present	native
Puccinia pygmaea Erikss. 	206	3	41	24.IX.1997		1997-09-24	species	Pucciniaceae	parasite of: Berberis| parasite of: Mahonia| parasite of: Calamagrostis epigejos| parasite of: Agrostis| parasite of: Ammophila| parasite of: Calamagrostis| parasite of: Festuca	present	
Puccinia recondita Rob. ex Desm. ss. str. 	207	3	42	21.VII.1902	VIII.1955	1902-07-21/1955-08	species	Pucciniaceae	parasite of: Anchusa| parasite of: Secale cereale	present	
Puccinia ribis DC. 	208	3	42				species	Pucciniaceae	parasite of: Ribes spicatum	doubtful	
Puccinia rumicis Bellynck	209	3	42	VII.1889		1889-07	species	Pucciniaceae	parasite of: Rumex scutatus	present	
Puccinia saniculae Grev. 	210	3	42				species	Pucciniaceae	parasite of: Sanicula europaea	present	
Puccinia saxifragae Schltdl. 	211	3	42				species	Pucciniaceae	parasite of: Saxifraga	doubtful	
Puccinia schroeteri Pass. 	212	3	43	VII.1887		1887-07	species	Pucciniaceae	parasite of: Narcissus pseudonarcissus	present	
Puccinia scirpi DC. 	213	3	43	19.II.1899		1899-02-19	species	Pucciniaceae	parasite of: Nymphoides peltata| parasite of: Schoenoplectus lacustris	present	
Puccinia senecionis Lib.	214	3	43				species	Pucciniaceae	parasite of: Senecio ovatus	present	
Puccinia sessilis Schneid ex J. Schröt. 	215	3	43	01.VI.1891	15.V.2010	1891-06-01/2010-05-15	species	Pucciniaceae	parasite of: Allium ursinum| parasite of: Arum maculatum| parasite of: Convallaria majalis| parasite of: Listera ovata| parasite of: Paris quadrifolia| parasite of: Maianthemum bifolium| parasite of: Orchis militaris| parasite of: Polygonatum| parasite of: Phalaris arundinacea	present	native
Puccinia sii-falcariae J. Schröt. 	216	3	44				species	Pucciniaceae	parasite of: Falcaria vulgaris	doubtful	
Puccinia smyrnii Biv. 	217	3	44				species	Pucciniaceae	parasite of: Smyrnium olusatrum	doubtful	alien
Puccinia soldanellae Fuckel 	218	3	45				species	Pucciniaceae	parasite of: Soldanella	doubtful	alien
Puccinia sorghi Schwein. 	219	3	45	06.X.1997		1997-10-06	species	Pucciniaceae	parasite of: Oxalis	present	alien
Puccinia striiformis Westend. 	220	3	45	29.V.1916		1916-05-29	species	Pucciniaceae	parasite of: Agrostis canina| parasite of: Brachypodium sylvaticum| parasite of: Bromus hordeaceus| parasite of: Elymus caninus| parasite of: Elymus repens| parasite of: Hordeum murinum| parasite of: Hordeum vulgare| parasite of: Secale cereale| parasite of: Triticum sp.	present	
Puccinia subnitens Dietel 	221	3	45				species	Pucciniaceae	parasite of: Chenopodium album| parasite of: Chenopodium glaucum| parasite of: Distichlis	doubtful	alien
Puccinia tanaceti DC.	222	3	46	02.XI.1857	28.IX.2009	1857-11-02/2009-09-28	species	Pucciniaceae	parasite of: Artemisia absinthium| parasite of: Artemisia vulgaris| parasite of:  Tanacetum vulgare| parasite of: Chrysanthemum	present	
Puccinia thesii Chaillet 	223	3	46				species	Pucciniaceae	parasite of: Thesium linophyllon	doubtful	
Puccinia triticina Erikss. 	224	3	46	22.VII.1902	29.VII.1996	1902-07-22/1996-07-29	species	Pucciniaceae	parasite of: Thalictrum| parasite of: Triticum aestivum	present	native
Puccinia uliginosa Juel 	225	3	47	VI.1901		1901-06	species	Pucciniaceae	parasite of: Parnassia palustris| parasite of: Carex nigra	present	
Puccinia umbilici Guépin 	226	3	47				species	Pucciniaceae	parasite of: Umbilicus pendulinus| parasite of: Umbilicus rupestris| parasite of: Rhodiola rosea	doubtful	alien
Puccinia urticata F. Kern 	227	3	47	IV.1878	15.V.2010	1878-04/2010-05-15	species	Pucciniaceae	parasite of: Urtica dioica| parasite of: Urtica urens| parasite of: Carex	present	native
Puccinia urticata var. urticae-acutae (Kleb.) Zwetko 	228	3	48	19.IX.1999		1999-09-19	variety	Pucciniaceae	parasite of: Urtica dioica| parasite of: Urtica urens| parasite of: Carex acuta| parasite of: Carex nigra| parasite of: Carex elata	present	
Puccinia urticata var. urticae-acutiformis (Kleb.) Zwetko 	229	3	48	19.III.1988		1988-03-19	variety	Pucciniaceae	parasite of: Urtica dioica| parasite of: Urtica urens| parasite of: Carex acutiformis	present	
Puccinia urticata var. urticae-hirtae (Kleb.) Zwetko 	230	3	48	II.1898		1898-02	variety	Pucciniaceae	parasite of: Urtica dioica| parasite of: Urtica urens| parasite of: Carex hirta	present	
Puccinia urticata var. urticae-ripariae (Hasler) Zwetko 	231	3	49	24.III.1997		1997-03-24	variety	Pucciniaceae	parasite of: Urtica dioica| parasite of: Urtica urens| parasite of: Carex riparia	present	
Puccinia variabilis Grev. 	232	3	49	VIII.1880	09.XI.1999	1880-08/1999-11-09	species	Pucciniaceae	parasite of: Taraxacum officinale	present	native
Puccinia veronicae (Schumach.) G. Winter	233	3	49	VII.1883	26.VI.1943	1883-07/1943-06-26	species	Pucciniaceae	parasite of: Veronica montana	present	native
Puccinia veronicarum DC. 	234	3	50	VII.1886		1886-07	species	Pucciniaceae	parasite of: Veronica officinalis| parasite of: Veronica longifolia| parasite of: Veronica spicata| parasite of: Veronica urticifolia	present	
Puccinia vincae Berk. 	235	3	50	25.VII.1955	12.VI.2001	1955-07-25/2001-06-12	species	Pucciniaceae	parasite of: Vinca major| parasite of: Vinca sp.	present	
Puccinia violae DC. 	236	3	50	17.IX.1994		1994-09-17	species	Pucciniaceae	parasite of: Viola riviniana	present	
Puccinia virgae-aureae (DC.) Lib. 	237	3	50				species	Pucciniaceae	parasite of: Solidago virgaurea	present	
